symbol,model_name,MFTR,ARR,AVol,MDD,Sharpe,IR,MCFD,MAE,MSE,n_trades,start,end
ada,gru,-0.00015585265352369707,-0.8511972177641138,0.9405456100222258,-0.22831442774502408,-1.5517193187688103,-0.016047170110623878,0.5257270693512305,0.18727181829291492,0.035171482752509454,465,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
ada,xgboost,0.0001480844866506818,1.1443249655817245,0.942628393208335,-0.20051776695297507,1.2758152414667743,-0.046473941234017296,0.4730941704035874,0.012811174060444056,0.00022425544109730733,463,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
avax,gru,0.00023828721249282713,4.342081677000825,0.7995301978778411,-0.13864235597551267,2.4939718284964294,-0.04617570965396103,0.5253456221198156,0.009301652003786937,0.00013374849579954326,469,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
avax,xgboost,-0.0002450662039703855,-0.9229070388574175,0.8016781081891216,-0.21764485427697466,-2.795101101302589,-0.029244117208454587,0.47453703703703703,0.008323929068067325,0.00011179907552855528,466,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
bch,gru,-0.00011453585080173936,-0.7091458653185649,0.5272507001557972,-0.11821368178825253,-2.081221455008028,-0.04632410546120797,0.49217002237136465,0.1093071602831363,0.011979843474448944,466,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
bch,xgboost,7.289317622915386e-05,-0.7752397559026312,0.5512328446067686,-0.1542969792995389,-2.4300444094858213,-0.003376612781219207,0.5055928411633109,0.0040603923744541815,3.579978035509144e-05,465,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
bnb,gru,-2.77400920734175e-05,-0.36183063237248225,0.47410708889978587,-0.10017937954461298,-0.7107985321505754,-0.006540427148196375,0.48322147651006714,0.16764552115584702,0.02813057227906889,466,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
bnb,xgboost,-2.779974818540333e-05,-0.36244823923286995,0.4746225711127256,-0.10017937954461442,-0.711553480694073,-0.006547407430835694,0.48322147651006714,0.003714863288429967,2.567542457258184e-05,465,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
bsc-usd,gru,-5.28266492670655e-06,-0.13681620799389327,0.11724188520117182,-0.012763790273169984,-1.1963946231867681,-0.04632410546120797,0.5027027027027027,0.003205568193697199,1.1468069261856505e-05,466,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
bsc-usd,xgboost,5.2940254964414064e-06,-0.053223884108250186,0.11737665019958,-0.01226476379374386,-0.40738839417348766,-6.649917256765941e-05,0.4972972972972973,0.0012476520403866384,2.4799686948454334e-06,465,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
btc,gru,-0.0001389359726815936,-0.7433018988007374,0.3127010033060052,-0.12984858534097787,-4.1927289108080545,-0.04632410546120797,0.44805194805194803,0.014561480722403755,0.00022067663419412007,466,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
btc,xgboost,0.00018757041831936374,-1.0,0.55696305251376,-0.8658685250390105,-67.57287156316698,-0.5836116428037647,0.5422993492407809,0.002707913265402337,1.72816749416448e-05,465,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
doge,gru,0.00019431263357725496,2.4360092809970317,0.8624319019682444,-0.16342005143493288,1.8647121589049889,0.020510155378101507,0.5011037527593819,0.4181943239493335,0.17497112745518317,466,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
doge,xgboost,0.00026247928253311065,1.9209616923243682,0.8669804104954929,-0.15957303046260352,1.6721825913508859,0.019849115891912527,0.5055432372505543,0.00616648303534719,8.496090564213427e-05,464,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
eth,gru,-0.00016780216060282403,-0.8352258739787928,0.688108058293249,-0.20546891646303356,-2.2728092257324684,-0.023561932877933785,0.5021645021645021,0.03448151792312952,0.001242868347863688,466,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
eth,xgboost,-0.0001683618674848856,-0.8361391813685737,0.6887592169075258,-0.205468916463034,-2.27807261091848,-0.023615785070171272,0.5010845986984815,0.004774997819599628,5.420548027375346e-05,465,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
hbar,gru,0.0002651454204026191,6.1776577116907605,0.7160041790803175,-0.12488439221266912,3.1126668412474854,0.03397059594018057,0.5100671140939598,0.2500461139038001,0.06258140668989032,466,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
hbar,xgboost,0.0002657156256077861,6.209519572670164,0.7165087848828705,-0.12488439221266978,3.1171639190749363,0.03401337528573735,0.5100671140939598,0.011522234393641601,0.00018041628107425315,465,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
leo,gru,-0.00013457265383710806,-0.7289312203614765,0.2552174150343998,-0.08334161813790353,-4.987308032057755,-0.05145309275447096,0.42435424354243545,0.06163481806329918,0.0038062216103289465,466,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
leo,xgboost,0.000134862057393747,1.8704734019979878,0.2555911397044243,-0.035934291581108946,4.25366104489931,-0.046373889576016805,0.5756457564575646,0.001581703025393436,7.399354170399152e-06,465,2025-08-09 13:00:00+00:00,2025-08-25 00:00:00+00:00
link,gru,0.0002868503438652372,5.89299540263977,0.9920992671089772,-0.17574461442996903,2.4380802165079816,-0.04632410546120797,0.49206349206349204,0.0547912072647847,0.003113497551446781,466,2025-08-09 12:00:00+00:00,2025-08-25 00:00:00+00:00
